id,Arrival,Departure,energy
1,9,12,20.80061439161051
2,8,12,26.50624463990239
3,7,11,31.86074338686898
4,10,15,38.10155354716389
5,8,13,32.40530192565718
6,9,14,35.55644387301517
7,7,12,33.29636295156082
8,8,11,19.98724210556766
9,11,15,27.17987427364359
10,10,15,37.35059626239387
11,8,15,54.8496931545339
12,9,13,32.10789495799153
13,6,10,29.98037173693856
14,9,17,64.8860818252699
15,7,11,25.38716244630587
16,9,17,66.0
17,10,13,16.43275924977414
18,10,16,53.21982432601588
19,11,16,41.98891276453669
20,6,10,26.07873660722202
